country_id,date,population,country_id_hash
2946,1980-01-01,3367477,7402128
7069,1980-01-01,2400729,40195874
9088,1980-01-01,12243,90251611
3625,1980-01-01,4973883,68676821
5516,1980-01-01,1901570,57208980
9888,1980-01-01,233668,70675589
6544,1980-01-01,5892224,52370962
6951,1980-01-01,29463549,42463016
7514,1980-01-01,38170501,90076779
1955,1980-01-01,4192011,84805501
7526,1980-01-01,37491666,12701244
7632,1980-01-01,14943645,65636910
4452,1980-01-01,16673586,47917195
9954,1980-01-01,375112,41352220
9171,1980-01-01,8311763,22103137
9995,1980-01-01,6319113,3737103
9598,1980-01-01,8898954,16185412
1623,1980-01-01,18100281,65066037
8108,1980-01-01,4045965,51328176
5605,1980-01-01,19297659,16834609
3514,1980-01-01,45737753,83708293
8258,1980-01-01,642224,41526550
3763,1980-01-01,2838110,91215077
4810,1980-01-01,1647,28417856
7376,1980-01-01,96708,41565817
4402,1980-01-01,1127852,16821368
2097,1980-01-01,6578156,54062275
3095,1980-01-01,44089069,24159972
6898,1980-01-01,2862903,16217600
6928,1980-01-01,7731,6838638
3793,1980-01-01,13284026,71743650
8670,1980-01-01,49973920,5644571
3348,1980-01-01,1014048,55092066
8898,1980-01-01,56326328,3662305
8163,1980-01-01,223140018,23866298
8338,1980-01-01,2953750,81805174
7220,1980-01-01,15947129,30060703
9145,1980-01-01,118156,64742281
4005,1980-01-01,15210443,97660441
6369,1980-01-01,52968270,2524380
7483,1980-01-01,116775,66644440
7872,1980-01-01,9204938,36875289
9480,1980-01-01,5720438,34664177
2658,1980-01-01,7049926,15422656
2050,1985-01-01,10512221,82099438
5181,1985-01-01,3171725,26100560
4586,1985-01-01,22132905,88531968
9350,1985-01-01,39663,10425951
9230,1985-01-01,43809,64265922
9448,1985-01-01,9970621,82060110
5604,1985-01-01,6907,91506655
8745,1985-01-01,65048,4535054
5231,1985-01-01,30287112,40732059
1972,1985-01-01,3300896,93738957
8217,1985-01-01,64478,60617172
7859,1985-01-01,15785682,59491633
5484,1985-01-01,7562114,52291310
2557,1985-01-01,6891140,98711688
3976,1985-01-01,245935,56453427
5160,1985-01-01,434375,80217975
3421,1985-01-01,95959099,42680327
8963,1985-01-01,257911,68313405
4288,1985-01-01,10133211,79052619
2934,1985-01-01,9880534,80959
1945,1985-01-01,163436,47222930
5854,1985-01-01,4419552,12930379
5017,1985-01-01,55611,85701576
5833,1985-01-01,484528,21650059
8863,1985-01-01,6385630,8178979
2086,1985-01-01,4383306,33289842
6025,1985-01-01,1138704,33681694
5643,1985-01-01,83585251,50976533
8750,1985-01-01,13202,9951496
1038,1985-01-01,222119,27446300
4114,1985-01-01,8917076,77504937
3270,1985-01-01,7979185,68944829
5785,1985-01-01,4948024,81655156
1475,1985-01-01,7376090,52106740
2910,1985-01-01,9804254,10540412
4227,1985-01-01,25843922,72666860
5564,1985-01-01,339874,35433607
1710,1985-01-01,21313,667325
1420,1985-01-01,2553075,26243078
9053,1985-01-01,4967590,97319789
8151,1985-01-01,12326396,39935936
4783,1985-01-01,1060239979,31599265
8433,1985-01-01,29326260,30776375
2225,1985-01-01,375650,90211785
1998,1985-01-01,16657,55168376
5481,1985-01-01,2771463,82479466
9225,1985-01-01,4803325,7094523
5830,1985-01-01,10149044,3314720
5520,1985-01-01,731664,88666182
9936,1985-01-01,5119452,11777277
8382,1985-01-01,400709,25239866
1484,1985-01-01,71596,17232522
4632,1985-01-01,6417798,18394308
8990,1985-01-01,9254311,78290769
5730,1985-01-01,50035843,60387048
8331,1985-01-01,4876757,19450374
5493,1985-01-01,378379,76654775
1933,1985-01-01,1899243,62208073
4556,1985-01-01,1525782,76324049
2855,1985-01-01,702400,37223699
1077,1985-01-01,40285965,17010357
1812,1985-01-01,2232,12728354
8902,1985-01-01,45575,99789118
2666,1985-01-01,727461,52107209
8325,1985-01-01,4902175,98648627
2491,1985-01-01,55108106,11799999
6137,1985-01-01,86931,15305068
1540,1985-01-01,187578,33477232
9323,1985-01-01,856482,26015852
1968,1985-01-01,855958,18307709
6192,1985-01-01,5338867,55512115
2447,1985-01-01,77638808,53674746
1680,1985-01-01,13651443,1084582
5059,1985-01-01,28674,43518251
7791,1985-01-01,9840141,77023562
9550,1985-01-01,53220,58937713
1866,1985-01-01,100576,82422330
1376,1985-01-01,357844,82529388
8106,1985-01-01,124675,86045229
8657,1985-01-01,7932185,20945365
9599,1985-01-01,5531661,95923490
5294,1985-01-01,900088,9208023
2843,1985-01-01,772671,78027550
6415,1985-01-01,6245539,34054767
1086,1985-01-01,4387693,54768852
7703,1985-01-01,5411680,29510498
9064,1985-01-01,10542754,36662877
7843,1985-01-01,241577,67436522
7159,1985-01-01,780242084,21648065
3993,1985-01-01,165791694,92838403
7987,1985-01-01,47266160,96306083
3959,1985-01-01,15753856,77675519
7100,1985-01-01,3505769,66414785
3808,1985-01-01,64376,93294090
9089,1985-01-01,4182681,80718860
5288,1985-01-01,56636465,73216586
6674,1985-01-01,2292030,93222457
6552,1985-01-01,121119031,81642360
4363,1985-01-01,2751492,37592621
4450,1985-01-01,15413315,85666628
3754,1985-01-01,19452161,11037852
5939,1985-01-01,66708,54204960
5927,1985-01-01,1888975,59370545
8847,1985-01-01,4064852,49652934
1313,1985-01-01,3741604,28197956
3111,1985-01-01,2655104,18661921
1899,1985-01-01,3226750,49003518
1612,1985-01-01,1616697,34734422
9882,1985-01-01,2239724,41788389
9669,1985-01-01,3684313,64334328
3125,1985-01-01,26785,97262456
9898,1985-01-01,3672852,96392049
7830,1985-01-01,366466,57651871
3497,1985-01-01,10297746,55401267
3592,1985-01-01,7625078,82269717
6262,1985-01-01,15108135,8133617
2701,1985-01-01,190383,6732282
4228,1985-01-01,8187651,67756812
3964,1985-01-01,349118,24357467
8099,1985-01-01,38962,75853003
6596,1985-01-01,348728,50645867
2777,1985-01-01,1746265,42580177
2792,1985-01-01,1025769,48015318
6400,1985-01-01,68287,17842756
9800,1985-01-01,74872006,72918587
8489,1985-01-01,372310,3947657
1367,1985-01-01,4300695,15268947
2641,1985-01-01,28807,8933254
9877,1985-01-01,1919744,16660052
1357,1985-01-01,604622,74713465
6446,1985-01-01,11113,76081666
3324,1985-01-01,22335077,54325268
9850,1985-01-01,12680065,70930221
7797,1985-01-01,36881020,57551901
2703,1985-01-01,1093311,46013951
9288,1985-01-01,8313,30637242
3315,1985-01-01,17540571,86309608
7531,1985-01-01,14515704,69807021
5635,1985-01-01,159702,81836261
1811,1985-01-01,3268356,67448392
6130,1985-01-01,3763034,85492671
1507,1985-01-01,7187618,78601846
4777,1985-01-01,83585251,80293540
7875,1985-01-01,2848,15474886
4718,1985-01-01,19325487,80650558
6127,1985-01-01,2001504,88702694
1019,1985-01-01,32041,35230153
4283,1985-01-01,4152637,69617708
2939,1985-01-01,1353289,64469579
5946,1985-01-01,97121552,30970202
7978,1985-01-01,13644,98058056
2232,1985-01-01,2197065,73261353
6499,1985-01-01,3447579,95471311
8530,1985-01-01,3535498,81581462
2693,1985-01-01,19746610,30489639
1477,1985-01-01,54812660,40403060
7322,1985-01-01,37179160,42556134
4885,1985-01-01,9996896,49672094
7373,1985-01-01,3406279,34938530
3352,1985-01-01,365868,69253153
6771,1985-01-01,22525363,56605532
6070,1985-01-01,142896392,90064085
7426,1985-01-01,6266752,59404664
9065,1985-01-01,4016,40139165
9260,1985-01-01,132751,33207339
7092,1985-01-01,15714,50826289
3283,1985-01-01,166517,7157750
6251,1985-01-01,22241,58059125
7391,1985-01-01,12890245,54707069
5951,1985-01-01,6520705,51153058
1245,1985-01-01,7912069,18329013
3813,1985-01-01,67833,31415778
2946,1985-01-01,3749419,7402128
7069,1985-01-01,2685994,40195874
9088,1985-01-01,19064,90251611
3625,1985-01-01,5146571,68676821
5516,1985-01-01,1952518,57208980
9888,1985-01-01,277158,70675589
6544,1985-01-01,6630637,52370962
6951,1985-01-01,33752964,42463016
7514,1985-01-01,41232709,90076779
1955,1985-01-01,4706975,84805501
7526,1985-01-01,38471920,12701244
7632,1985-01-01,16092338,65636910
4452,1985-01-01,19517196,47917195
9954,1985-01-01,387171,41352220
9171,1985-01-01,8389913,22103137
9995,1985-01-01,6469824,3737103
9598,1985-01-01,10540926,16185412
1623,1985-01-01,19511876,65066037
8108,1985-01-01,4660598,51328176
5605,1985-01-01,22569625,16834609
3514,1985-01-01,50594940,83708293
8258,1985-01-01,682109,41526550
3763,1985-01-01,3336508,91215077
4810,1985-01-01,1739,28417856
7376,1985-01-01,97055,41565817
4402,1985-01-01,1199785,16821368
2097,1985-01-01,7476092,54062275
3095,1985-01-01,49175673,24159972
6898,1985-01-01,3246887,16217600
6928,1985-01-01,8329,6838638
3793,1985-01-01,15038915,71743650
8670,1985-01-01,50917399,5644571
3348,1985-01-01,1379536,55092066
8898,1985-01-01,56643045,3662305
