country_id,date,value,country_id_hash
549,1982-01-01,2.8,72282422
366,1982-01-01,,59805280
239,1982-01-01,7.6,52830773
443,1982-01-01,-3.2,23013392
560,1982-01-01,-3.6,82422592
689,1982-01-01,5.4,47875248
367,1982-01-01,-13.6,18938828
441,1982-01-01,9.0,9991475
181,1982-01-01,0.9,41161672
640,1982-01-01,4.1,45387969
135,1982-01-01,-0.5,71792468
366,1982-01-01,2.4,59805280
169,1982-01-01,-7.3,74759091
815,1982-01-01,,15024232
966,1982-01-01,6.3,79476360
172,1982-01-01,,9318686
79,1982-01-01,0.2,10652375
604,1982-01-01,3.7,37854619
175,1982-01-01,,83684836
683,1982-01-01,4.1,33288671
848,1982-01-01,1.7,93586470
852,1982-01-01,1.2,8966224
646,1982-01-01,7.3,14679614
531,1982-01-01,-6.3,15428775
217,1982-01-01,2.2,15068116
641,1982-01-01,,71050252
426,1982-01-01,,65445761
625,1982-01-01,1.4,5544914
19,1982-01-01,1.0,6574532
208,1982-01-01,-1.1,6092745
68,1982-01-01,3.1,86772443
52,1982-01-01,2.5,76244680
157,1982-01-01,4.1,79102343
469,1982-01-01,20.8,79010487
183,1982-01-01,,17611223
708,1982-01-01,-0.8,67210726
858,1982-01-01,-8.3,16247707
195,1982-01-01,-1.1,87250446
145,1982-01-01,4.1,20560328
294,1982-01-01,-3.5,93049851
932,1982-01-01,1.8,70052031
72,1982-01-01,4.2,65527069
517,1982-01-01,-8.9,46046806
500,1982-01-01,-2.8,25876123
84,1982-01-01,-2.1,43139873
767,1982-01-01,2.9,8880454
837,1982-01-01,2.8,86054092
997,1982-01-01,2.2,96103666
346,1982-01-01,3.5,19145025
312,1982-01-01,2.2,57643641
472,1982-01-01,23.2,37521730
902,1982-01-01,,39900920
824,1982-01-01,1.5,88902669
665,1982-01-01,1.4,1481878
91,1982-01-01,0.2,96746132
831,1982-01-01,3.1,73592048
894,1982-01-01,3.3,59501566
480,1982-01-01,5.8,25678534
485,1982-01-01,,67900430
567,1982-01-01,5.1,13424445
484,1982-01-01,0.7,8909947
24,1982-01-01,8.3,64218719
499,1982-01-01,,91126019
392,1982-01-01,-9.5,4832143
743,1982-01-01,,62804304
140,1982-01-01,4.7,1367353
751,1982-01-01,,91851388
41,1982-01-01,-36.8,34187516
646,1982-01-01,5.6,14679614
360,1982-01-01,,97957390
822,1982-01-01,1.5,36520093
218,1982-01-01,,59043983
235,1982-01-01,1.0,4448030
723,1982-01-01,,41888806
742,1982-01-01,-1.9,8164667
715,1982-01-01,2.5,14715080
186,1982-01-01,5.9,18355348
892,1982-01-01,7.5,67199473
125,1982-01-01,-11.6,15398877
338,1982-01-01,0.1,40243223
841,1982-01-01,,20377248
529,1982-01-01,,28812437
526,1982-01-01,5.5,99931138
92,1982-01-01,0.0,77356048
909,1982-01-01,,72783508
18,1982-01-01,,56085795
871,1982-01-01,8.3,81170260
273,1982-01-01,,38766189
515,1982-01-01,9.6,97595539
859,1982-01-01,-6.9,4930958
359,1982-01-01,,78845516
135,1982-01-01,,71792468
101,1982-01-01,,33791314
768,1982-01-01,3.8,86898080
790,1982-01-01,-1.3,80827534
774,1982-01-01,2.9,6470595
211,1982-01-01,-0.8,75229044
859,1982-01-01,2.2,4930958
555,1982-01-01,,20929225
680,1982-01-01,,29582630
16,1982-01-01,0.2,41938095
427,1982-01-01,11.5,15671395
282,1982-01-01,7.6,93837253
356,1982-01-01,,71761777
900,1982-01-01,5.3,23044717
