country_id,date,population,start,end,current
1680,1955-01-01,5887163,01.01.1900,31.12.9999,1
5059,1955-01-01,21541,01.01.1900,31.12.9999,1
7791,1955-01-01,8146022,01.01.1900,31.12.9999,1
9550,1955-01-01,26295,01.01.1900,31.12.9999,1
1866,1955-01-01,82656,01.01.1900,31.12.9999,1
1376,1955-01-01,242576,01.01.1900,31.12.9999,1
8106,1955-01-01,65977,01.01.1900,31.12.9999,1
8657,1955-01-01,3560239,01.01.1900,31.12.9999,1
9599,1955-01-01,3234056,01.01.1900,31.12.9999,1
5294,1955-01-01,563713,01.01.1900,31.12.9999,1
2843,1955-01-01,483316,01.01.1900,31.12.9999,1
6415,1955-01-01,3545999,01.01.1900,31.12.9999,1
1086,1955-01-01,1796527,01.01.1900,31.12.9999,1
7703,1955-01-01,2490487,01.01.1900,31.12.9999,1
9064,1955-01-01,9823331,01.01.1900,31.12.9999,1
7843,1955-01-01,157735,01.01.1900,31.12.9999,1
7159,1955-01-01,398577992,01.01.1900,31.12.9999,1
3993,1955-01-01,77741502,01.01.1900,31.12.9999,1
7987,1955-01-01,18873864,01.01.1900,31.12.9999,1
3959,1955-01-01,6405686,01.01.1900,31.12.9999,1
7100,1955-01-01,2886368,01.01.1900,31.12.9999,1
3808,1955-01-01,52283,01.01.1900,31.12.9999,1
9089,1955-01-01,1564960,01.01.1900,31.12.9999,1
5288,1955-01-01,48130728,01.01.1900,31.12.9999,1
6674,1955-01-01,1552883,01.01.1900,31.12.9999,1
6552,1955-01-01,90090281,01.01.1900,31.12.9999,1
4363,1955-01-01,622010,01.01.1900,31.12.9999,1
4450,1955-01-01,7858733,01.01.1900,31.12.9999,1
3754,1955-01-01,6558870,01.01.1900,31.12.9999,1
5939,1955-01-01,42008,01.01.1900,31.12.9999,1
5927,1955-01-01,183458,01.01.1900,31.12.9999,1
8847,1955-01-01,1944992,01.01.1900,31.12.9999,1
1313,1955-01-01,1893389,01.01.1900,31.12.9999,1
3111,1955-01-01,2032505,01.01.1900,31.12.9999,1
1899,1955-01-01,1556327,01.01.1900,31.12.9999,1
1612,1955-01-01,641361,01.01.1900,31.12.9999,1
9882,1955-01-01,1013790,01.01.1900,31.12.9999,1
9669,1955-01-01,1225687,01.01.1900,31.12.9999,1
3125,1955-01-01,14945,01.01.1900,31.12.9999,1
9898,1955-01-01,2699051,01.01.1900,31.12.9999,1
7830,1955-01-01,305514,01.01.1900,31.12.9999,1
3497,1955-01-01,4467590,01.01.1900,31.12.9999,1
3592,1955-01-01,3240318,01.01.1900,31.12.9999,1
6262,1955-01-01,6786077,01.01.1900,31.12.9999,1
2701,1955-01-01,81823,01.01.1900,31.12.9999,1
4228,1955-01-01,5014680,01.01.1900,31.12.9999,1
3964,1955-01-01,323596,01.01.1900,31.12.9999,1
8099,1955-01-01,14062,01.01.1900,31.12.9999,1
6596,1955-01-01,262164,01.01.1900,31.12.9999,1
2777,1955-01-01,738577,01.01.1900,31.12.9999,1
2792,1955-01-01,596866,01.01.1900,31.12.9999,1
6400,1955-01-01,22942,01.01.1900,31.12.9999,1
9800,1955-01-01,31452141,01.01.1900,31.12.9999,1
8489,1955-01-01,178572,01.01.1900,31.12.9999,1
1367,1955-01-01,2714714,01.01.1900,31.12.9999,1
2641,1955-01-01,20430,01.01.1900,31.12.9999,1
9877,1955-01-01,844997,01.01.1900,31.12.9999,1
1357,1955-01-01,441379,01.01.1900,31.12.9999,1
6446,1955-01-01,13432,01.01.1900,31.12.9999,1
3324,1955-01-01,10242168,01.01.1900,31.12.9999,1
9850,1955-01-01,6318904,01.01.1900,31.12.9999,1
7797,1955-01-01,19522788,01.01.1900,31.12.9999,1
2703,1955-01-01,547430,01.01.1900,31.12.9999,1
9288,1955-01-01,3818,01.01.1900,31.12.9999,1
